name,reduceTrans_a,reduceTrans_b,reduceArea_a,reduceArea_b,partialDays,partialTransMult,partialAreaMult,vacEffectDays
AZ,40,26.66666667,31.5,31.5,42,0.5,1,10
Pfizer,35.55555556,8.888888889,31.5,31.5,21,0.5,1,10
IncursionVac,14.7,6.3,31.5,31.5,21,0.5,1,10
