P,A
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
36.5677521,16.41281513
