,Mnth,1,2,3,4,5,6,7,8,9,10,11,12,13
Urban,60+ double vacc'ed,2,2,2,2,2,0,0,0,0,0,0,0,0
,18-59 double vacc'ed,31,31,31,31,30,0,0,0,0,0,0,0,0
,12-17 double vacc'ed,17,17,17,17,16,0,0,0,0,0,0,0,0
,5-11 double vacc'ed,0,0,0,0,0,,,,,,,0,0
,60+ booster - one shot,0,0,0,0,0,6,6,5,6,6,5,0,0
,18 to 59 booster - one shot,0,0,0,0,0,42,41,42,41,42,42,0,0
Rural,60+ double vacc'ed,7,7,7,7,7,0,0,0,0,0,0,0,0
,18-59 double vacc'ed,78,78,78,78,78,0,0,0,0,0,0,0,0
,12-17 double vacc'ed,31,31,31,31,33,0,0,0,0,0,0,0,0
,5-11 double vacc'ed,0,0,0,0,0,,,,,,,0,0
,60+ booster - one shot,0,0,0,0,0,10,9,10,9,10,9,0,0
,18 to 59 booster - one shot,0,0,0,0,0,71,71,71,71,71,70,0,0
