,Mnth,1,2,3,4,5,6,7,8,9,10,11,12,13
Urban,60+ double vacc'ed,9,4,0,0,0,0,,,,,,,
,18-59 double vacc'ed,62,62,53,0,0,0,,,,,,,
,12-17 double vacc'ed,7,7,7,14,14,41,,,,,,,
,5-11 double vacc'ed,,,,,,,,,,,,,
,60+ booster - one shot,,,,,,,,,,,,,
,18 to 59 booster - one shot,,,,,,,,,,,,,
Rural,60+ double vacc'ed,10,10,10,9,0,0,,,,,,,
,18-59 double vacc'ed,72,72,77,134,74,0,,,,,,,
,12-17 double vacc'ed,8,8,9,15,17,111,,,,,,,
,5-11 double vacc'ed,,,,,,,,,,,,,
,60+ booster - one shot,,,,,,,,,,,,,
,18 to 59 booster - one shot,,,,,,,,,,,,,
