,Mnth,1,2,3,4,5,6,7,8,9,10,11,12,13
Urban,60+ double vacc'ed,2,2,2,2,2,3,0,0,0,0,0,0,0
,18-59 double vacc'ed,30,30,30,30,30,27,0,0,0,0,0,0,0
,12-17 double vacc'ed,15,15,15,15,15,15,0,0,0,0,0,0,0
,5-11 double vacc'ed,0,0,0,0,0,0,22,22,22,22,22,22,0
,60+ booster - one shot,0,0,0,0,0,0,6,6,6,6,6,6,0
,18 to 59 booster - one shot,0,0,0,0,0,0,48,48,48,48,48,48,0
Rural,60+ double vacc'ed,7,7,7,7,7,4,0,0,0,0,0,0,0
,18-59 double vacc'ed,72,72,72,72,71,70,0,0,0,0,0,0,0
,12-17 double vacc'ed,28,28,28,28,28,28,0,0,0,0,0,0,0
,5-11 double vacc'ed,0,0,0,0,0,0,38,37,38,37,38,37,0
,60+ booster - one shot,0,0,0,0,0,0,10,10,10,10,10,11,0
,18 to 59 booster - one shot,0,0,0,0,0,0,82,82,81,82,82,81,0
