days,unVaccArrive,unVaccRisk,vaccArrive,vaccRisk,vaccineType,variant,varReplaceChance,present_a,present_b
1,1,0.1,0,0,IncursionVac,beta,0,120,60
20,1,0.0225,1,0.0225,IncursionVac,beta,0,0,0
