days,unVaccArrive,unVaccRisk,vaccArrive,vaccRisk,vaccineType,variant,varReplaceChance,present_a,present_b
0,1,0.1,0,0,IncursionVac,1,0,120,60
476,1,0.0225,1,0.0225,IncursionVac,1,0,0,0
