P,A,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
