P,A,,,,
9.628851541,36.32703081,,,,0.98
9.782913166,35.60049019,,,,1.016
9.939439776,34.88848039,,,,1.025
10.09847081,34.19071078,,,,
10.26004635,33.50689657,,,,
10.42420709,32.83675864,,,,
10.5909944,32.18002346,,,,
10.76045031,31.53642299,,,,
10.93261752,30.90569453,,,,
11.1075394,30.28758064,,,,
11.28526003,29.68182903,,,,
11.46582419,29.08819245,,,,
11.64927737,28.5064286,,,,
11.83566581,27.93630003,,,,
12.02503647,27.37757403,,,,
12.21743705,26.83002255,,,,
12.41291604,26.2934221,,,,
12.6115227,25.76755365,,,,
12.81330706,25.25220258,,,,
13.01831997,24.74715853,,,,
13.22661309,24.25221536,,,,
13.4382389,23.76717105,,,,
13.65325073,23.29182763,,,,
13.87170274,22.82599108,,,,
14.09364998,22.36947126,,,,
14.31914838,21.92208183,,,,
14.54825475,21.48364019,,,,
14.78102683,21.05396739,,,,
15.01752326,20.63288804,,,,
15.25780363,20.22023028,,,,
15.50192849,19.81582568,,,,
15.74995935,19.41950916,,,,
16.0019587,19.03111898,,,,
16.25799003,18.6504966,,,,
16.51811788,18.27748667,,,,
16.78240776,17.91193693,,,,
17.05092629,17.5536982,,,,
17.32374111,17.20262423,,,,
17.60092096,16.85857175,,,,
17.8825357,16.52140031,,,,
18.32959909,16.41281513,,,,
18.78783907,16.41281513,,,,
19.25753505,16.41281513,,,,
19.73897342,16.41281513,,,,
20.23244776,16.41281513,,,,
20.73825895,16.41281513,,,,
21.25671543,16.41281513,,,,
21.78813331,16.41281513,,,,
22.33283664,16.41281513,,,,
22.89115756,16.41281513,,,,
23.4634365,16.41281513,,,,
24.05002241,16.41281513,,,,
24.65127297,16.41281513,,,,
25.2675548,16.41281513,,,,
25.89924367,16.41281513,,,,
26.54672476,16.41281513,,,,
27.21039288,16.41281513,,,,
27.8906527,16.41281513,,,,
28.58791902,16.41281513,,,,
29.30261699,16.41281513,,,,
30.03518242,16.41281513,,,,
30.78606198,16.41281513,,,,
31.55571353,16.41281513,,,,
32.34460636,16.41281513,,,,
33.15322152,16.41281513,,,,
33.98205206,16.41281513,,,,
34.83160336,16.41281513,,,,
35.70239345,16.41281513,,,,
36.59495328,16.41281513,,,,
37.50982711,16.41281513,,,,
38.44757279,16.41281513,,,,
39.40876211,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
40.39398117,16.41281513,,,,
